Sede Id;Sede Codice;Sede CodDistaccamento;Id Sede Padre;Descrizione;
002.U2.U4;1U;8002;002.U2;UFFICIO PER LA GESTIONE TECNICO-CONTRATTUALE DELLA FLOTTA AEREA E DEL SOCCORSO AEROPORTUALE;
002.U2.U5;1X;8003;002.U2;UFFICIO PER LA GESTIONE TECNICO-OPERATIVA DELLA FLOTTA AEREA;
002.U2.U6;1V;8014;002.U2;UFFICIO PER L'IMPIEGO DELLA FLOTTA AEREA AIB;
002.U4;1T;8103;002;UFFICIO PER LA SICUREZZA VOLO, PER LA QUALITA', LA FORMAZIONE E LA STANDARDIZZAZIONE;
002.U5;1Y;8104;002;UFFICIO PER LA PIANIFICAZIONE E IL COORDINAMENTO DEL SERVIZIO AIB;
003.U5;3P;8005;003.U1;UFFICIO PER LA REGOLAMENTAZIONE COMUNITARIA;
005.A1;2B;8100;005;UFFICIO PER LA PIANIFICAZIONE, IL CONTROLLO E LO SVILUPPO DELLA FORMAZIONE - VICARIO DEL DIRETTORE CENTRALE;
005.A2;2C;8101;005;SCUOLE CENTRALI ANTINCENDI;
005.A4;2E;8103;005;ISTITUTO SUPERIORE ANTINCENDI;
005.A5;2F;8104;005;SCUOLA DI FORMAZIONE OPERATIVA;
005.A7;2H;8106;005;UFFICIO PER LA FORMAZIONE MOTORIA PROFESSIONALE;
007.U1;6D;8001;007;UFFICIO I - PROGRAMMAZIONE E ANALISI ECONOMICO-FINANZIARIE - CAPO UFFICIO DI STAFF;
007.U2;6E;8002;007;UFFICIO III - ORDINAMENTO RETRIBUTIVO DEL PERSONALE - CAPO UFFICIO DI STAFF;
007.U3;6G;8101;007;UFFICIO II - BILANCIO E PATRIMONIO;
007.U4;6P;8103;007;UFFICIO IV - TRATTAMENTO ECONOMICO FISSO DEL PERSONALE;
007.U5;6Q;8104;007;UFFICIO V - TRATTAMENTO ECONOMICO ACCESSORIO DEL PERSONALE;
007.U6;6T;8005;007;UFFICIO VI - PREVIDENZA E ASSISTENZA AL PERSONALE;
007.U7;6B;8100;007;UFFICIO VII - TRATTAMENTO PREVIDENZIALE ORDINARIO E PRIVILEGIATO;
009.A1;8C;8100;009;UFFICIO III - GESTIONE DELLE RISORSE IMMOBILIARI;
009.A2;8D;8101;009;UFFICIO IV - GESTIONE DEI SERVIZI AUSILIARI E DI FUNZIONAMENTO;
009.A3;8E;8102;009;UFFICIO V - GESTIONE FINANZIARIA DELLE PROCEDURE DI APPALTO;
009.A5;8G;8104;009;UFFICIO DI COORDINAMENTO E GESTIONE DELLE RISORSE LOGISTICHE - VICE DIRETTORE CENTRALE;
009.U1;8U;8002;009;UFFICIO I - PIANIFICAZIONE, CONSULENZA CONTRATTUALE E AFFARI GENERALI - CAPO UFFICIO DI STAFF;
009.U1.U2;8Z;8003;009.U1;DIRIGENTE IN POSIZIONE DI STAFF - UFFICIALE ROGANTE E CONSULENTE IN MATERIA CONTRATTUALE;
009.U2;8R;8002;009;UFFICIO II - CONTENZIOSO CONTRATTUALE;
009.U4;8B;8004;009;UFFICIO DI COORDINAMENTO TECNOLOGICO - VICE DIRETTORE CENTRALE;
009.U4.U1;8H;8105;009.U4;UFFICIO MACCHINARI E ATTREZZATURE;
009.U4.U3;8L;8107;009.U4;UFFICIO PER I SERVIZI INFORMATICI;
009.U4.U4;8K;8006;009.U4;UFFICIO PER LE TECNOLOGIE DELL'INFORMAZIONE E DELLA COMUNICAZIONE;
009.U5;8J;8005;009;UFFICIO DI COORDINAMENTO TECNICO-LOGISTICO AIB;
013.U13;12N;8013;013;UFFICIO PER LA REGOLAZIONE AERONAUTICA, LA CERTIFICAZIONE E LA SORVEGLIANZA DI AEROPORTI ED ELIPORTI;
013.U14;12O;8014;013;UFFICIO PER LA COMUNICAZIONE IN EMERGENZA;
013.U15;12P;8015;013;UFFICIO PER LE POLITICHE DI TUTELA DELLA SICUREZZA SUL LAVORO DEL PERSONALE DEL CORPO;
013.U16;12Q;8016;013;UFFICIO DI COORDINAMENTO DELLE POLITICHE DI CONTROLLO - VICARIO DEL DIRETTORE DELL'UFFICIO;
013.U18;12S;8018;013;UFFICIO PER L'ATTIVITA' DI VIGILANZA ISPETTIVA IN MATERIA DI IGIENE E SALUTE;
004.A1;4B;8100;004;UFF. I - COORDINAMENTO POLITICHE DI PROTEZIONE CIVILE E CENTRI DI PRONTO INTERVENTO E SUPPORTO LOGISTICO CAPI - CAPO UFFICIO DI STAFF;
004.A1B;4C;8101;004;UFFICIO DI RACCORDO CON LE STRUTTURE DEL CORPO - VICE DIRETTORE CENTRALE;
004.S2;4M;8201;004;UFFICIO II - DIFESA CIVILE - CAPO UFFICIO DI STAFF;
006.A1B;5D;8101;006;UFFICIO DI PIANIFICAZIONE PER LA MOBILITA' E SVILUPPO DELLE AREE PROFESSIONALI - VICE DIRETTORE CENTRALE;
006.U1;5B;8001;006;UFFICIO I - POLITICHE DEL PERSONALE E AFFARI GENERALI - CAPO UFFICIO DI STAFF;
006.U2;5W;8002;006;UFFICIO II - PERSONALE DEI RUOLI DEI DIRIGENTI E DEI DIRETTIVI;
006.U3;5X;8003;006;UFFICIO III - PERSONALE NON DIRETTIVO E NON DIRIGENTE CHE ESPLETA FUNZIONI TECNICO PROFESSIONALI - CAPO UFFICIO DI STAFF;
006.U4;5Z;8004;006;UFFICIO IV - PERSONALE DEL RUOLO DEI CAPI SQUADRA E CAPI REPARTO E DEL RUOLO DEI VIGILI DEL FUOCO E PERSONALE VOLONTARIO - CAPO UFFICIO DI STAFF;
006.U5;5Q;8004;006;UFFICIO V - CONTENZIOSO E DISCIPLINA - CAPO UFFICIO DI STAFF;
008.U1;7L;8001;008;UFFICIO I - AFFARI GENERALI VICARIO DEL DC - CAPO UFFICIO DI STAFF;
008.U2;7M;8002;008;UFFICIO II - AFFARI CONCORSUALI E CONTENZIOSO - CONCORSI D'ACCESSO;
